State,state_abbr,District,year,std12_letters_and_up,std12_numbers_and_up,std35_std1_and_up,std35_subtraction_and_up,private_6_14,out_of_school_6_14,in_school_3_4
HP,HP,Bilaspur,2006,92.5,91,70.6,76.9,24.3,0.9,70.7
HP,HP,Chamba,2006,71.3,57.2,62.5,57.4,3.9,5.7,72
HP,HP,Hamirpur,2006,100,98,95.5,93.5,27,0.2,84.1
HP,HP,Kangra,2006,79.6,68.5,66.9,65.5,24.4,0,74
HP,HP,Kinnaur,2006,95.6,91,81.2,84.5,16.3,0.6,86.1
HP,HP,Kullu,2006,94.4,85.6,80.3,79.4,12.3,1.2,82.1
HP,HP,Lahul & Spiti,2006,97.2,93.3,84,88.2,16.2,0.5,98.6
HP,HP,Mandi,2006,93.6,84.7,75.6,79.8,12.5,1.6,46.3
HP,HP,Shimla,2006,89.7,78.7,87.6,75.2,25.4,1.8,72.4
HP,HP,Sirmaur,2006,73.9,62.8,60.1,54.7,12.6,2.8,71.2
HP,HP,Solan,2006,79.2,68.5,79.8,77.2,21.8,0.7,75.2
HP,HP,Una,2006,91,83,76.8,70.3,25.2,0.2,85.6
Jharkhand,JH,Palamu,2006,68.8,60,63.8,77.5,4.8,11.6,24.3
Jharkhand,JH,Chatra,2006,55.5,37.3,56.9,55.4,4.3,5.8,69.5
Jharkhand,JH,Hazaribagh,2006,79.5,65.4,76.1,72.8,20.7,3.5,84.9
Jharkhand,JH,Koderma,2006,90.4,77.5,78.2,80.4,13.7,12.1,87.2
Jharkhand,JH,Giridih,2006,70.8,59.8,73.1,68.5,17.9,7.3,79.2
Jharkhand,JH,Godda,2006,67.1,52.7,63.7,65.9,8.1,9.4,71.8
Jharkhand,JH,Sahibganj,2006,66.7,53.2,66,66.2,7.8,10.9,63.6
Jharkhand,JH,Pakur,2006,80.7,68.6,73.5,78.1,6.6,20.3,64.3
Jharkhand,JH,DUMKA,2006,73,53.8,68.6,84.1,2.7,7.6,79.6
Jharkhand,JH,Ranchi,2006,78.7,63.4,64.4,67.8,15.5,11.9,68.8
Jharkhand,JH,Lohardagga,2006,76.7,71.3,69.1,66.1,11.2,8.6,82.4
Jharkhand,JH,GUMLA,2006,71.4,61.9,82.2,78.7,11.5,10.8,83.3
Jharkhand,JH,East Singhbhum,2006,68.1,48.9,56.5,59.5,8.2,10,81.8
Jharkhand,JH,Sindega,2006,73.8,53.9,71.2,56.5,24.5,5.8,84.8
Karnataka,KA,Belgaum,2006,83.7,73,71.1,46.7,18.5,3.1,93.9
Karnataka,KA,Bagalkot,2006,65.6,45.4,38.7,29.8,13.6,7.1,94.4
Karnataka,KA,Bijapur,2006,63.6,49.7,54.5,47.7,6.4,8.6,98.4
Karnataka,KA,Gulbarga,2006,73.1,59.9,44.4,32.6,6.6,18,67.6
Karnataka,KA,Bidar,2006,74.6,71.7,49.4,41.3,22.8,2.2,90.1
Karnataka,KA,Raichur,2006,48.8,36.3,47.4,44.2,4,15.5,64.9
Karnataka,KA,Koppal,2006,66.3,57.8,48.8,42.6,10.9,9.8,88.9
Karnataka,KA,Gadag,2006,66.9,39.4,35.4,22.3,8.5,7.7,89.6
Karnataka,KA,Dharwad,2006,59.3,42.4,44.4,19.3,9.7,2.6,90.2
Karnataka,KA,Uttara Kannada,2006,97,79.9,59.1,62.5,2.8,1.8,88.8
Karnataka,KA,Haveri,2006,71.3,60.1,54.2,38.1,8.3,2.8,92.8
Karnataka,KA,Bellary,2006,67.3,48.5,45.5,36.5,12.4,6.9,86.8
Karnataka,KA,Chitradurga,2006,94.2,76.6,51.9,52.7,9.1,2.6,85.5
Karnataka,KA,Davangere,2006,79.2,59.7,56.7,34.4,22.7,4.1,86.8
Karnataka,KA,Shimoga,2006,94.8,85.9,68.9,63.4,16.3,2.2,74.6
Karnataka,KA,Udupi,2006,92.2,87.5,89.2,81.5,39.6,0.5,88.1
Karnataka,KA,Chikmagalur,2006,92.1,91.4,61.6,55.3,21.6,2.8,90.8
Karnataka,KA,Tumkur,2006,86.1,62.3,60.6,39.4,15.3,0.9,88.6
Karnataka,KA,Kolar,2006,78.2,36.4,54.5,38.3,19.8,1,98
Karnataka,KA,Bangalore,2006,71,64.1,57.6,57.1,42,2,84.7
Karnataka,KA,Bangalore Rural,2006,79.8,75.3,60.2,55.5,19.8,2.6,91.6
Karnataka,KA,Mandya,2006,91.8,68,42,48.2,15.6,1.2,85.5
Karnataka,KA,Hassan,2006,91.7,76,59.1,62.5,20.4,1.7,90.8
Karnataka,KA,Dakshina Kannada,2006,93.4,81.6,82,59.2,37.6,0.9,90.8
Karnataka,KA,Kodagu,2006,97.2,90.1,80.5,59.8,21.8,1.4,96.3
Karnataka,KA,Mysore,2006,83.7,59.7,54.4,52.5,22.2,1.4,84.5
Karnataka,KA,Chamarajanagar,2006,84.5,70.5,52.6,37.5,12.5,1.3,95.9
Kerala,KL,Kannur,2006,97.6,92.8,88.5,83.8,46,0.2,77.9
Kerala,KL,Wayanad,2006,98.1,96.7,90.5,85.3,40.3,0.9,76.4
Kerala,KL,Kozhikode (Calicut),2006,98.7,93.2,85.7,84.7,52.3,0,89.6
Kerala,KL,Malappuram,2006,98.4,83.3,85.8,80.3,36.6,0.2,76
Kerala,KL,Palakkad,2006,95,86,78.2,77.6,35.7,0.9,86.5
Kerala,KL,Thrissur,2006,98.1,90.7,90.8,85.9,39.9,0.3,90.6
Kerala,KL,Ernakulam,2006,99.3,85.4,86.1,74.9,63.6,0.8,98.5
Kerala,KL,Alappuzha ,2006,99.2,91.8,88.2,86.6,53.6,0.1,94.2
Kerala,KL,Pathanamthitta,2006,98.5,93.3,85.4,80.7,58.3,0,88
Kerala,KL,Kollam,2006,100,99,79.5,82,46.4,0.4,94.1
Kerala,KL,Thiruvananthapuram,2006,98.7,98.5,81.6,81.4,32.7,0.7,92.2
MH,MH,Nandurbar,2006,74,57.7,44,36.8,15.9,13.2,84.7
MH,MH,Dhule,2006,81.8,65.5,60.3,43.3,17.5,5.1,77.6
MH,MH,Jalgaon,2006,95.9,84.4,86.6,72.5,10.3,4.3,97.4
MH,MH,Buldana,2006,84.2,65.5,83.2,72.9,15.1,8.3,86.8
MH,MH,Akola,2006,81.7,57.1,71.2,50.8,20.9,1.3,96.9
MH,MH,Washim,2006,77.8,49.1,85.4,63.8,28.4,8,92.2
MH,MH,Amravati,2006,75.4,54.2,67.7,48.4,32.1,2.2,93.4
MH,MH,Wardha,2006,90.8,59.5,78.9,69.3,21.3,1.7,94.8
MH,MH,Nagpur,2006,87.7,72.9,70.7,63,28.9,2.3,91.9
MH,MH,Bhandara,2006,93.9,87.9,81.6,77.3,24.1,1.3,95.8
MH,MH,Gondiya,2006,90.1,75.7,78.4,52.5,29.3,0.3,99.5
MH,MH,Gadchiroli,2006,79.7,68.4,76,69.2,18.4,3.6,88
MH,MH,Chandrapur,2006,82.4,66.2,73.3,68.3,16.7,1.6,96.9
MH,MH,Yavatmal,2006,80.8,60.6,72.7,62.2,17.6,4.1,92.4
MH,MH,Nanded,2006,99.6,97.8,88.9,82.4,22.2,2.5,96.7
MH,MH,Parbhani,2006,87.3,75.1,73.2,63.4,22.7,6.3,95.6
MH,MH,Jalna,2006,77.2,56.4,82.9,77.8,18.6,6.4,95.8
MH,MH,Aurangabad,2006,86.8,68.7,76.2,58,17.6,4.7,90.3
MH,MH,Nashik,2006,77.6,54.8,76.2,59,25,5.6,92
MH,MH,Thane,2006,88.8,68,70.6,61.1,13.9,13.8,94
MH,MH,Raigarh,2006,91.7,82.9,87.9,84,27.9,1,88.8
MH,MH,Pune,2006,84.7,63.6,81.3,70.3,15.3,2.9,87.6
MH,MH,Ahmednagar,2006,98.1,88.7,83.7,90.9,11.9,1.5,94.5
MH,MH,Bid,2006,100,94.6,83.4,73.1,27.2,3.8,95.4
MH,MH,Latur,2006,84.5,70.9,76.9,72.3,30,3,91.5
MH,MH,Osmanabad,2006,99.6,96.4,91,86.9,23,0.7,95.1
MH,MH,Solapur,2006,82.9,76.1,74,65.1,22.8,3.1,93.5
MH,MH,Satara,2006,99,95.2,90.8,89.4,10.8,1.2,97.4
MH,MH,Ratnagiri,2006,74.6,61,88.3,80.5,1.1,2.2,79.8
MH,MH,Sindhudurg,2006,95,89.1,91.2,83.8,6.9,0.8,94.9
MH,MH,Kolhapur,2006,90.5,72.6,81.2,69,8.4,3.4,83.8
Manipur,MN,Churachandpur,2006,77.5,73,82.6,81.5,83.6,4.9,60.2
Manipur,MN,Bishnupur,2006,95.4,76.8,76.6,93.3,66.4,2.7,78.1
Manipur,MN,Thoubal,2006,67.8,62.4,38.5,70,51.9,6.5,56
Manipur,MN,Imphal West,2006,99.3,98.6,59.2,90.4,62.3,2.2,93.5
Manipur,MN,Imphal East,2006,92.9,90.9,71.1,84.8,53.5,7.7,89.1
Meghalaya,ML,West Garo Hills,2006,98.9,98.1,73.3,67.3,29.4,10.2,74.7
Nagaland,NL,Mokokchung,2006,97.7,97.7,70.2,50.4,54.8,1.7,73.5
Nagaland,NL,Zunheboto,2006,98.7,98.6,90,93.1,74.1,0.7,100
Nagaland,NL,Dimapur,2006,100,94.9,88.5,91.4,52.4,1.3,87.9
Nagaland,NL,Phek,2006,95.8,90.2,27.3,70.7,28.2,15.5,79.3
Odisha,OR,Bargarh,2006,80.6,60.7,67,61.9,4.4,6,82.5
Odisha,OR,Jharsuguda,2006,58.3,44.8,46.9,35.2,4.4,2.7,88.2
Odisha,OR,Sambalpur,2006,77.9,56.8,63,66.9,3,6.8,86.1
Odisha,OR,Deogarh,2006,71.4,64.3,56.8,62.8,1.5,6.5,75.3
Odisha,OR,Sundargarh,2006,76.4,67.3,69.5,62.3,12.9,9.1,85
Odisha,OR,Kendujhar,2006,65,59.5,73.9,77.6,8.4,5.4,77.5
Odisha,OR,Mayurbhanj,2006,65.1,61.3,82.1,75.5,2.6,15.6,78.2
Odisha,OR,Baleshwar,2006,94.8,67.3,77.7,65.4,4.1,8.4,48.8
Odisha,OR,Bhadrak,2006,84.8,81.1,87.7,83.7,3.3,0.2,82.1
Odisha,OR,Kendraparha,2006,82.2,70.4,68.4,67,7.4,2,86.3
Odisha,OR,Jagatsinghapur,2006,86.8,62.8,80.3,59.6,6.3,4,89.6
Odisha,OR,Cuttack,2006,56.6,40.2,64.2,52.3,5.1,4.7,81.1
Odisha,OR,Jajapur,2006,78.5,69.1,78.1,85.5,4.3,5.4,73.1
Odisha,OR,Dhenkanal,2006,60.7,46.3,44.6,42.4,5.2,9.5,71.2
Odisha,OR,Anugul,2006,81,77.6,63.6,58.2,0.9,7.7,71
Odisha,OR,Nayagarh,2006,83.1,57.1,77.9,68.7,4.2,4.9,72.2
Odisha,OR,Khordha,2006,78.6,59.9,78.5,72.7,5.1,2.8,94.6
Odisha,OR,Puri,2006,90.5,86.1,62.6,62.1,4.3,1.5,89
Odisha,OR,Ganjam,2006,63.5,53.8,76.6,72,1.4,11.3,65.4
Odisha,OR,Gajapati,2006,69.9,56.1,57.7,47.5,5.7,14.8,56.4
Odisha,OR,Baudh,2006,49.8,28.6,46.8,35.6,1.6,8.3,71.9
Odisha,OR,Subarnapur,2006,55.8,40.3,56,41.4,1.5,6.8,80.7
Odisha,OR,Balangir,2006,52.2,30.6,49.2,39.1,2.3,8.2,56.6
Odisha,OR,Nuaparha,2006,53,30.1,46,37.7,6,15.2,54.1
Odisha,OR,Kalahandi,2006,74.5,45.5,62.5,53.4,7.5,10.8,71.1
Odisha,OR,Rayagarha,2006,73,62.8,51.1,54.1,2.7,30.3,47.9
Odisha,OR,Nabarangapur,2006,60.3,51.4,64,65.9,2.5,11.7,75.6
Odisha,OR,Malkangiri,2006,75.4,59.9,64.9,63.7,2.3,22.8,90.1
Punjab,PB,Amritsar,2006,75.2,58.9,57.4,56.6,44.5,4.5,77.4
Punjab,PB,Faridkot,2006,83.3,75.2,72.3,73.6,41.5,4,75.3
Punjab,PB,Fatehgarh Sahib,2006,92.8,70.3,77.1,71.8,48.8,2,86.1
Punjab,PB,Firozpur,2006,77.5,56.6,54.6,56.2,27.8,6.6,71.7
Punjab,PB,Gurdaspur,2006,84.3,70.3,60.6,64.5,48.1,2,75.5
Punjab,PB,Hoshiarpur,2006,99.2,98.4,86.9,93.1,33.7,0.9,94.4
Punjab,PB,Mansa,2006,65.4,50.7,57.9,69,29.9,4.1,64.2
Punjab,PB,Moga,2006,89.1,62.8,71,64.5,45.7,2.2,84.9
Punjab,PB,Muktsar,2006,91.3,78.1,81.5,80.2,30.7,6.4,64.5
Punjab,PB,Nawashehar,2006,88.1,75.5,65.8,69,37.6,0.8,76.5
Punjab,PB,Sangrur,2006,87.5,70.8,71.4,72.4,57.1,2,77.5
Punjab,PB,SSANagar,2006,94.7,71.7,64.4,72.5,50.9,1.2,81.2
Punjab,PB,Patiala,2006,82,57.8,64.5,51.1,49.3,3.1,74.7
Punjab,PB,Rupnagar,2006,86.5,64.7,72.3,74.6,43.7,0.9,83.3
Rajasthan,RJ,Ajmer,2006,68.4,55.2,62.7,64,17.6,18.8,57.9
Rajasthan,RJ,Alwar,2006,43.9,38.6,62.4,59,37,6.8,58.7
Rajasthan,RJ,Banswara,2006,42.7,38.7,47.7,51.3,14.8,23.8,67.9
Rajasthan,RJ,Baran,2006,67.5,65.6,62.2,74.3,25.9,6.2,89.8
Rajasthan,RJ,Bhilwara,2006,57.9,55,60.8,62.8,8.3,17,73
Rajasthan,RJ,Bikaner,2006,40.7,38.3,70.8,72.2,10.1,25.6,57
Rajasthan,RJ,Bundi,2006,58.4,57.1,75.9,76.9,22.8,12.7,86.1
Rajasthan,RJ,Chittaurgarh,2006,50.6,37.9,60.1,57.4,9.7,16.1,78.6
Rajasthan,RJ,Churu,2006,56.4,51,67.7,66.5,28.2,10.4,66.3
Rajasthan,RJ,Dausa,2006,45.2,24.2,59.3,54.7,32.8,11.3,59.1
Rajasthan,RJ,Dhaulpur,2006,57.4,48,58.1,59.2,22,17.6,58.5
Rajasthan,RJ,Dungarpur,2006,50,49.4,60.2,63.8,17.8,11.3,69
Rajasthan,RJ,Ganganagar,2006,38.7,38.7,80.3,85.9,18.8,7.6,90
Rajasthan,RJ,Hanumangarh,2006,66.8,63.9,94.6,94.9,40.1,3.8,89.4
Rajasthan,RJ,Jaipur,2006,38.9,36.8,61.9,63.8,39.1,5.4,59.1
Rajasthan,RJ,Jaisalmer,2006,75.9,75.5,79.8,79.3,2,16.8,82.4
Rajasthan,RJ,Jalor,2006,64.4,55.1,70.9,69.4,13,7.6,77.4
Rajasthan,RJ,Jhalawar,2006,64.5,59.2,50,45.3,29.2,5.2,79.8
Rajasthan,RJ,Jhunjhunun,2006,63.1,51,73,72.1,45.6,4.6,75.6
Rajasthan,RJ,Jodhpur,2006,70.2,62.5,69.4,67.5,26.1,15.1,63.6
Rajasthan,RJ,Karauli,2006,67.5,59.2,74,72.2,35.2,10.6,72.4
Rajasthan,RJ,Kota,2006,67.8,59.5,49.6,50.7,27,9.5,77.4
Rajasthan,RJ,Nagaur,2006,65.3,62.4,60.6,61.4,27.6,8.7,65.9
Rajasthan,RJ,Pali,2006,77.8,72.2,67.5,69.9,14,12.4,72.8
Rajasthan,RJ,Rajsamand,2006,48.3,46.4,54.7,56.1,7.1,7,65.8
Rajasthan,RJ,Sawai Madhopur,2006,62.9,56.6,62.5,63.8,24.6,12.9,75.8
Rajasthan,RJ,Sikar,2006,43.4,40.3,53.8,57.2,42,6.3,55.3
Rajasthan,RJ,Sirohi,2006,60.7,36.7,69.4,63.7,8.4,8.3,84.7
Rajasthan,RJ,Tonk,2006,67.7,54.1,58.8,58.4,28.2,10.5,69.9
Rajasthan,RJ,Udaipur,2006,35,25.7,41,42.1,8.7,13.5,74.1
Tamilnadu,TN,Tiruvallur,2006,63.5,47.4,39.7,51.4,16.8,0.6,91.7
Tamilnadu,TN,Kancheepuram,2006,54.9,38.2,44.8,37.4,22.9,1,85.3
Tamilnadu,TN,Vellore,2006,62.9,49.7,43.1,37.7,14.4,3.9,88.8
Tamilnadu,TN,Tiruvannamalai,2006,74,52.4,55.2,26.6,12.2,2.5,96.5
Tamilnadu,TN,Viluppuram,2006,56,42.7,37.6,38.7,12.8,3.9,93.3
Tamilnadu,TN,Salem,2006,61.3,58.5,47.4,58.3,14.7,1.4,84.6
Tamilnadu,TN,Namakkal,2006,75.7,74.8,51.1,54.6,22.4,1.2,78.2
Tamilnadu,TN,Erode,2006,63.6,40.5,44.3,37.8,12,1.5,89
Tamilnadu,TN,The Nilgiris,2006,43.2,42.4,35.4,42.2,45.1,0.4,89.6
Tamilnadu,TN,Coimbatore,2006,57.4,49.6,52.7,53.9,27.4,1.5,78
Tamilnadu,TN,Karur,2006,85.7,69.1,50.4,59.4,11.3,1.8,93.4
Tamilnadu,TN,Tiruchirappalli,2006,62.9,43.5,49.5,44.9,23.9,0.3,75.4
Tamilnadu,TN,Perambalur,2006,56.6,28.7,34.8,64.8,14.6,1.1,83.2
Tamilnadu,TN,Ariyalur,2006,61.7,36.2,59.3,77.2,12.5,0.1,92.8
